id,dept,dist,station,value,date
0,Revenue,Tenkasi,Gadana dam Section,6.0,2024-01-01
1,Revenue,Tenkasi,Karuppanadhi Dam section,4.0,2024-01-01
2,Revenue,Tirunelveli,Oothu,15.0,2024-01-01
3,Revenue,Tirunelveli,Nalumukku,12.0,2024-01-01
4,Revenue,Tirunelveli,Manjolai,10.0,2024-01-01
5,Revenue,Tirunelveli,Papanasam,7.0,2024-01-01
6,Revenue,Tirunelveli,Kakkachi,5.0,2024-01-01
7,Revenue,Nagapattinam,Nagapattinam,1.0,2024-01-02
8,Revenue,Tenkasi,Ramanadhi Dam Section,2.0,2024-01-02
9,Revenue,Tenkasi,Karuppanadhi Dam section,1.0,2024-01-02
10,Revenue,Tirunelveli,Kakkachi,13.0,2024-01-02
11,Revenue,Tirunelveli,Oothu,11.0,2024-01-02
12,Revenue,Tirunelveli,Manjolai,10.0,2024-01-02
13,Revenue,Tirunelveli,Nalumukku,8.0,2024-01-02
14,Revenue,Tirunelveli,Papanasam,4.0,2024-01-02
15,Revenue,Tirunelveli,Manimutharu,2.0,2024-01-02
16,Revenue,Tirunelveli,Kannadian Anicut,1.0,2024-01-02
17,Revenue,Tirunelveli,Ambasamudram,1.0,2024-01-02
18,GCC,Chennai,Zone 09 Nungambakkam,0.3,2024-01-03
19,GCC,Chennai,Zone 12 Alandhur,0.3,2024-01-03
20,CMWSSB,Chennai,Thiruvottiyur,0.2,2024-01-03
21,CMWSSB,Chennai,Sholinganallur,0.2,2024-01-03
22,GCC,Chennai,Zone 01 Thiruvottiyur,0.15,2024-01-03
23,Revenue,Kanniyakumari,Sivalogam (Chittar II),16.0,2024-01-03
24,Revenue,Kanniyakumari,Perunchani,15.0,2024-01-03
25,Revenue,Kanniyakumari,Puthan dam,12.0,2024-01-03
26,Revenue,Kanniyakumari,Chittar I,12.0,2024-01-03
27,Revenue,Kanniyakumari,Pechiparai,8.0,2024-01-03
28,Revenue,Tenkasi,Ramanadhi Dam Section,9.0,2024-01-03
29,Revenue,Tenkasi,Sivagiri,5.0,2024-01-03
30,Revenue,Tenkasi,Karuppanadhi Dam section,2.0,2024-01-03
31,Revenue,Tirunelveli,Manjolai,9.0,2024-01-03
32,Revenue,Tirunelveli,Oothu,8.0,2024-01-03
33,Revenue,Tirunelveli,Kannadian Anicut,7.0,2024-01-03
34,Revenue,Tirunelveli,Manimutharu,7.0,2024-01-03
35,Revenue,Tirunelveli,Papanasam,7.0,2024-01-03
36,Revenue,Tirunelveli,Servalar Dam,5.0,2024-01-03
37,Revenue,Tirunelveli,Kakkachi,5.0,2024-01-03
38,Revenue,Tirunelveli,Kalakadu,4.0,2024-01-03
39,Revenue,Tirunelveli,Nalumukku,3.0,2024-01-03
40,Revenue,Tirunelveli,Ambasamudram,3.0,2024-01-03
41,Revenue,Tirunelveli,Nanguneri,3.0,2024-01-03
42,Revenue,Tirunelveli,Cheranmahadevi,1.0,2024-01-03
43,Revenue,Virudhunagar,Watrap,3.0,2024-01-03
44,GCC,Chennai,Zone 13 Velachery,3.0,2024-01-04
45,GCC,Chennai,Zone 14 Madipakkam,1.5,2024-01-04
46,CMWSSB,Chennai,Thiruvottiyur,0.2,2024-01-04
47,CMWSSB,Chennai,Sholinganallur,0.2,2024-01-04
48,Revenue,Coimbatore,Mettupalayam,3.0,2024-01-04
49,Revenue,Coimbatore,"Pillur Dam, Mettupalayam .",1.0,2024-01-04
50,Revenue,Coimbatore,Chinnakalar,1.0,2024-01-04
51,Revenue,Cuddalore,Kothavacherry,6.0,2024-01-04
52,Revenue,Cuddalore,Parangipettai,5.0,2024-01-04
53,Revenue,Cuddalore,Indian Metrology Department,1.0,2024-01-04
54,Revenue,Cuddalore,Annamalai Nagar,1.0,2024-01-04
55,Revenue,Dindigul,Kodaikanal,12.0,2024-01-04
56,Revenue,Dindigul,Kodaikanal boat club,8.0,2024-01-04
57,Revenue,Dindigul,Nilakottai,1.0,2024-01-04
58,Revenue,Erode,Kodivery,1.0,2024-01-04
59,Revenue,Madurai,Periyapatti,12.0,2024-01-04
60,Revenue,Madurai,Elumalai,10.0,2024-01-04
61,Revenue,Madurai,Peraiyur,9.0,2024-01-04
62,Revenue,Mayiladuthurai,Sirkali,2.0,2024-01-04
63,Revenue,Tenkasi,Ramanadhi Dam Section,8.0,2024-01-04
64,Revenue,Tenkasi,Gadana dam Section,5.0,2024-01-04
65,Revenue,Tenkasi,Sivagiri,4.0,2024-01-04
66,Revenue,Tenkasi,Ayikudi,1.0,2024-01-04
67,Revenue,The Nilgiris,Taluk Office Pandalur,41.0,2024-01-04
68,Revenue,The Nilgiris,Devala,23.0,2024-01-04
69,Revenue,The Nilgiris,Kil Kotagiri Estate,17.0,2024-01-04
70,Revenue,The Nilgiris,Barwood,13.0,2024-01-04
71,Revenue,The Nilgiris,Wood Braiyar Estate,13.0,2024-01-04
72,Revenue,The Nilgiris,Udhagai,12.0,2024-01-04
73,Revenue,The Nilgiris,Naduvattam,12.0,2024-01-04
74,Revenue,The Nilgiris,Kotagiri,8.0,2024-01-04
75,Revenue,The Nilgiris,Gudalur Bazaar,8.0,2024-01-04
76,Revenue,The Nilgiris,Alakarai Estate,8.0,2024-01-04
77,Revenue,The Nilgiris,Glenmorgan,7.0,2024-01-04
78,Revenue,The Nilgiris,Upper Gudalur,7.0,2024-01-04
79,Revenue,The Nilgiris,Harisan Malayalam Ltd. cherumulli,7.0,2024-01-04
80,Revenue,The Nilgiris,Avalanche,6.0,2024-01-04
81,Revenue,The Nilgiris,Coonoor,5.0,2024-01-04
82,Revenue,The Nilgiris,Burliar,5.0,2024-01-04
83,Revenue,The Nilgiris,Shanthi vijaya School,5.0,2024-01-04
84,Revenue,The Nilgiris,Adar estate,5.0,2024-01-04
85,Revenue,The Nilgiris,Kodanad,4.0,2024-01-04
86,Revenue,The Nilgiris,Kundah Bridge,4.0,2024-01-04
87,Revenue,The Nilgiris,Emerald,4.0,2024-01-04
88,Revenue,The Nilgiris,Ketti,3.0,2024-01-04
89,Revenue,The Nilgiris,Chamraj Estate,3.0,2024-01-04
90,Revenue,The Nilgiris,Geddai,2.0,2024-01-04
91,Revenue,The Nilgiris,Kinnakorai,2.0,2024-01-04
92,Revenue,The Nilgiris,Kallaty,2.0,2024-01-04
93,Revenue,Theni,Thekkadi,71.0,2024-01-04
94,Revenue,Theni,Periyar,49.0,2024-01-04
95,Revenue,Theni,Sothuparai,17.0,2024-01-04
96,Revenue,Theni,Shanmuganadhi,14.0,2024-01-04
97,Revenue,Theni,Uthamapalayam,13.0,2024-01-04
98,Revenue,Theni,Periyakulam,12.0,2024-01-04
99,Revenue,Theni,Veerapandi,10.0,2024-01-04
100,Revenue,Theni,Manjalar,9.0,2024-01-04
101,Revenue,Theni,Gudalur,8.0,2024-01-04
102,Revenue,Theni,Aranmanipudhur,3.0,2024-01-04
103,Revenue,Theni,Bodinayakanur,3.0,2024-01-04
104,Revenue,Thiruchirappalli,Pullambadi,4.0,2024-01-04
105,Revenue,Tirunelveli,Servalar Dam,30.0,2024-01-04
106,Revenue,Tirunelveli,Papanasam,28.0,2024-01-04
107,Revenue,Tirunelveli,Manjolai,16.0,2024-01-04
108,Revenue,Tirunelveli,Kakkachi,8.0,2024-01-04
109,Revenue,Tirunelveli,Kodumudiyaru Dam,6.0,2024-01-04
110,Revenue,Tirunelveli,Manimutharu,5.0,2024-01-04
111,Revenue,Tirunelveli,Nalumukku,4.0,2024-01-04
112,Revenue,Tirunelveli,Oothu,2.0,2024-01-04
113,Revenue,Tirunelveli,Kalakadu,2.0,2024-01-04
114,Revenue,Tirunelveli,Kannadian Anicut,1.0,2024-01-04
115,Revenue,Tirunelveli,Ambasamudram,1.0,2024-01-04
116,Revenue,Tirunelveli,Cheranmahadevi,1.0,2024-01-04
117,Revenue,Virudhunagar,Periyar Dam,36.0,2024-01-04
118,Revenue,Virudhunagar,"Taluk Office, Srivilliputhur",20.0,2024-01-04
119,Revenue,Virudhunagar,Rajapalayam,17.0,2024-01-04
120,Revenue,Virudhunagar,Watrap,12.0,2024-01-04
121,Revenue,Virudhunagar,Sivakasi RDO office,5.0,2024-01-04
122,CMWSSB,Chengalpattu,Alandur,5.4,2024-01-05
123,Revenue,Chengalpattu,Chengalpattu,3.0,2024-01-05
124,Revenue,Chengalpattu,Cheyyur,3.0,2024-01-05
125,Revenue,Chengalpattu,Madurantakam taluk office,2.0,2024-01-05
126,Revenue,Chengalpattu,"Taluk Office, Tambaram",2.0,2024-01-05
127,GCC,Chennai,Zone 09 Nungambakkam,21.6,2024-01-05
128,Revenue,Chennai,Chennai nungambakkam,19.0,2024-01-05
129,Revenue,Chennai,Gov hr sec school MGR Nagar,19.0,2024-01-05
130,GCC,Chennai,Zone 10 Vadapalani,17.4,2024-01-05
131,GCC,Chennai,Zone 06 Kolathur,17.1,2024-01-05
132,CMWSSB,Chennai,Kodambakkam,16.8,2024-01-05
133,GCC,Chennai,Zone 12 Meenambakkam,14.8,2024-01-05
134,GCC,Chennai,Zone 08 Aminjikarai,14.7,2024-01-05
135,Revenue,Chennai,Perambur Corporation park,14.0,2024-01-05
136,CMWSSB,Chennai,Thiru-Vi-Ka Nagar,12.8,2024-01-05
137,GCC,Chennai,Zone 11 Valasaravakkam,12.6,2024-01-05
138,GCC,Chennai,Zone 12 Mugalivakkam,12.6,2024-01-05
139,CMWSSB,Chennai,Valasaravakkam,11.2,2024-01-05
140,CMWSSB,Chennai,Ambattur,10.6,2024-01-05
141,Revenue,Chennai,Ayanavaram taluk office,10.0,2024-01-05
142,GCC,Chennai,Zone 02 Manali,9.9,2024-01-05
143,GCC,Chennai,Zone 02 Manali New town,8.85,2024-01-05
144,GCC,Chennai,Zone 03 Madhavaram,8.1,2024-01-05
145,GCC,Chennai,Zone 09 Ice House,8.1,2024-01-05
146,GCC,Chennai,Zone 14 Perungudi,7.6,2024-01-05
147,GCC,Chennai,Zone 12 Alandhur,7.5,2024-01-05
148,CMWSSB,Chennai,Tondairpet,7.4,2024-01-05
149,CMWSSB,Chennai,Anna Nagar,7.4,2024-01-05
150,GCC,Chennai,Zone 07 Ayapakkam,6.3,2024-01-05
151,GCC,Chennai,Zone 13 Adyar,6.3,2024-01-05
152,CMWSSB,Chennai,Manali,6.2,2024-01-05
153,Revenue,Chennai,Anna university,6.0,2024-01-05
154,GCC,Chennai,Zone 07 Ambattur,5.7,2024-01-05
155,CMWSSB,Chennai,Teynampet,5.4,2024-01-05
156,GCC,Chennai,Zone 03 Puzhal,5.4,2024-01-05
157,Revenue,Chennai,Alandur,5.0,2024-01-05
158,Revenue,Chennai,Sholinganallur,5.0,2024-01-05
159,CMWSSB,Chennai,Adyar,4.4,2024-01-05
160,GCC,Chennai,Zone 05 Basin bridge,4.35,2024-01-05
161,CMWSSB,Chennai,Madhavaram,4.2,2024-01-05
162,GCC,Chennai,Zone 05 Chennai central,3.8,2024-01-05
163,Revenue,Chennai,CD Hospital Tondiarpet,3.0,2024-01-05
164,GCC,Chennai,Zone 08 Anna Nagar West,3.0,2024-01-05
165,GCC,Chennai,Zone 11 Maduravoyal,2.4,2024-01-05
166,GCC,Chennai,Zone 13 Velachery,2.4,2024-01-05
167,GCC,Chennai,Zone 04 Tondiarpet,2.1,2024-01-05
168,GCC,Chennai,Zone 06 Perambur,2.1,2024-01-05
169,GCC,Chennai,Zone 14 Madipakkam,2.1,2024-01-05
170,Revenue,Chennai,Chennai collectorate building,2.0,2024-01-05
171,Revenue,Chennai,DGP Office,2.0,2024-01-05
172,GCC,Chennai,Zone 01 Thiruvottiyur,0.9,2024-01-05
173,CMWSSB,Chennai,Royapuram,0.8,2024-01-05
174,CMWSSB,Chennai,Sholinganallur,0.4,2024-01-05
175,GCC,Chennai,Zone 01 Kathivakkam,0.3,2024-01-05
176,CMWSSB,Chennai,Thiruvottiyur,0.2,2024-01-05
177,Revenue,Coimbatore,Chinnakalar,68.0,2024-01-05
178,Revenue,Coimbatore,Cincona,58.0,2024-01-05
179,Revenue,Coimbatore,Sholayar,46.0,2024-01-05
180,Revenue,Coimbatore,Valparai PAP,33.0,2024-01-05
181,Revenue,Coimbatore,"Taluk Office, Valparai",32.0,2024-01-05
182,Revenue,Coimbatore,Siruvani Adivaram (Water Treatment Plant),26.0,2024-01-05
