Customer ID,Customer Name,Customer Segment,Country,Region,State or Province,City,Postal Code,Order ID
3,Bonnie Potter,Corporate,United States,West,Washington,Anacortes,98221,88522
5,Ronnie Proctor,Home Office,United States,West,California,San Gabriel,91776,90193
11,Marcus Dunlap,Home Office,United States,East,New Jersey,Roselle,7203,90192
14,Gwendolyn F Tyson,Small Business,United States,Central,Minnesota,Prior Lake,55372,86838
14,Gwendolyn F Tyson,Small Business,United States,Central,Minnesota,Prior Lake,55372,86838
14,Gwendolyn F Tyson,Small Business,United States,Central,Minnesota,Prior Lake,55372,86838
14,Gwendolyn F Tyson,Small Business,United States,Central,Minnesota,Prior Lake,55372,86838
15,Timothy Reese,Small Business,United States,East,New York,Smithtown,11787,86837
15,Timothy Reese,Small Business,United States,East,New York,Smithtown,11787,86839
16,Sarah Ramsey,Small Business,United States,East,New York,Syracuse,13210,86836
16,Sarah Ramsey,Small Business,United States,East,New York,Syracuse,13210,86836
18,Laurie Hanna,Small Business,United States,West,Montana,Helena,59601,90031
19,Jim Rodgers,Small Business,United States,West,Montana,Missoula,59801,90032
21,Tony Wilkins Winters,Small Business,United States,East,New York,New York City,10012,41793
21,Tony Wilkins Winters,Small Business,United States,East,New York,New York City,10012,42949
21,Tony Wilkins Winters,Small Business,United States,East,New York,New York City,10012,42949
24,Edna Thomas,Corporate,United States,West,California,Laguna Niguel,92677,87651
24,Edna Thomas,Corporate,United States,West,California,Laguna Niguel,92677,87651
27,Guy Gallagher,Corporate,United States,West,California,Lakewood,90712,87652
32,Matthew Berman,Corporate,United States,West,Oregon,Grants Pass,97526,89199
32,Matthew Berman,Corporate,United States,West,Oregon,Grants Pass,97526,89200
32,Matthew Berman,Corporate,United States,West,Oregon,Grants Pass,97526,89202
32,Matthew Berman,Corporate,United States,West,Oregon,Grants Pass,97526,89203
33,Ricky Hensley,Corporate,United States,West,Oregon,Gresham,97030,89201
33,Ricky Hensley,Corporate,United States,West,Oregon,Gresham,97030,89201
43,Theodore Moran,Consumer,United States,West,Washington,Redmond,98052,91454
52,Lorraine Kelly,Corporate,United States,West,Washington,Puyallup,98373,88426
53,Sidney Russell Austin,Corporate,United States,West,Washington,Redmond,98052,88425
53,Sidney Russell Austin,Corporate,United States,West,Washington,Redmond,98052,88426
56,Randall Montgomery,Consumer,United States,East,New York,Tonawanda,14150,88075
56,Randall Montgomery,Consumer,United States,East,New York,Tonawanda,14150,88075
62,Pam Gilbert,Corporate,United States,Central,Texas,Round Rock,78664,87407
62,Pam Gilbert,Corporate,United States,Central,Texas,Round Rock,78664,87408
64,Lynn Morrow,Small Business,United States,South,Virginia,Salem,24153,87406
64,Lynn Morrow,Small Business,United States,South,Virginia,Salem,24153,87406
67,Ellen McCormick,Corporate,United States,West,California,Napa,94559,87946
68,Scott Bunn,Corporate,United States,East,New York,New York City,10177,37537
68,Scott Bunn,Corporate,United States,East,New York,New York City,10177,37537
68,Scott Bunn,Corporate,United States,East,New York,New York City,10177,37537
68,Scott Bunn,Corporate,United States,East,New York,New York City,10177,55713
70,Annette Boone,Corporate,United States,East,Vermont,Burlington,5401,87947
83,Edgar Stone,Corporate,United States,East,Ohio,Canton,44708,87365
84,Helen Stein,Consumer,United States,East,Ohio,Cincinnati,45231,87364
84,Helen Stein,Corporate,United States,East,Ohio,Cincinnati,45231,87366
87,Norman Shields,Corporate,United States,West,California,Vacaville,95687,90596
87,Norman Shields,Corporate,United States,West,California,Vacaville,95687,90597
87,Norman Shields,Corporate,United States,West,California,Vacaville,95687,90597
91,Wallace Werner,Home Office,United States,West,California,Vallejo,94591,87175
91,Wallace Werner,Home Office,United States,West,California,Vallejo,94591,87176
91,Wallace Werner,Corporate,United States,West,California,Vallejo,94591,87177
92,Victoria Baker Hoover,Home Office,United States,South,Louisiana,Terrytown,70056,87175
92,Victoria Baker Hoover,Home Office,United States,South,Louisiana,Terrytown,70056,87175
92,Victoria Baker Hoover,Corporate,United States,South,Louisiana,Terrytown,70056,87178
94,Eddie House Mueller,Home Office,United States,Central,Illinois,Chicago,60601,44231
94,Eddie House Mueller,Home Office,United States,Central,Illinois,Chicago,60601,44231
97,Max McKenna,Home Office,United States,Central,Kansas,Manhattan,66502,87306
97,Max McKenna,Home Office,United States,Central,Kansas,Manhattan,66502,87306
101,Claudia Boyle,Consumer,United States,East,Maine,Biddeford,4005,88205
102,Caroline Johnston,Consumer,United States,East,Massachusetts,Boston,2129,42599
102,Caroline Johnston,Consumer,United States,East,Massachusetts,Boston,2129,3397
102,Caroline Johnston,Consumer,United States,East,Massachusetts,Boston,2129,3397
107,Lois Hamilton,Consumer,United States,East,New Hampshire,Dover,3820,88204
109,Tom McFarland,Consumer,United States,East,New Jersey,Lodi,7644,88205
114,Ron Newton,Home Office,United States,West,Oregon,Lake Oswego,97035,89583
114,Ron Newton,Home Office,United States,West,Oregon,Lake Oswego,97035,89584
114,Ron Newton,Home Office,United States,West,Oregon,Lake Oswego,97035,89584
115,Dwight M Carr,Home Office,United States,West,Oregon,Mcminnville,97128,89585
117,Linda Weiss,Home Office,United States,West,Washington,Seattle,98103,7909
117,Linda Weiss,Home Office,United States,West,Washington,Seattle,98103,13959
117,Linda Weiss,Home Office,United States,West,Washington,Seattle,98103,13959
117,Linda Weiss,Home Office,United States,West,Washington,Seattle,98103,58914
120,Helen H Murphy,Corporate,United States,West,Utah,Layton,84041,86520
120,Helen H Murphy,Corporate,United States,West,Utah,Layton,84041,86520
